food_name,protein_g,fat_g,carbohydrates_g,calories_kcal,water_g,fiber_g,calcium_mg,iron_mg,magnesium_mg,potassium_mg,sodium_mg,vitamin_a_ug,vitamin_d_ug,vitamin_c_mg,vitamin_b12_ug,cholesterol_mg,sugar_g
"100% WHOLE WHEAT CINNAMON WITH RAISINS SWIRL BREAD, 100% WHOLE WHEAT CINNAMON WITH RAISINS",12.12,4.55,48.48,273,,6.1,61,2.12,,227,364,,0,,,0,15.15
"100% WHOLE WHEAT COUNTRY PREMIUM BREAD, 100% WHOLE WHEAT",11.11,2.78,47.22,250,,5.6,125,2.22,,222,472,,,,,0,5.56
"100% WHOLE WHEAT COUNTRY STYLE BREAD, 100% WHOLE WHEAT",10.2,4.08,48.98,245,,6.1,102,2.04,,204,388,,,,,0,6.12
100% WHOLE WHEAT DELI-THIN SANDWICH BREAD,11.63,3.49,46.51,233,,11.6,233,1.67,,,419,,,11.2,,0,6.98
"100% WHOLE WHEAT DELI-THIN SANDWICH BREAD, WHOLE WHEAT",11.63,3.49,46.51,233,,11.6,233,1.67,,,419,,,11.2,,0,6.98
100% WHOLE WHEAT DINNER ROLLS,13.16,2.63,44.74,263,,5.3,118,2.37,,211,421,,,,,0,7.89
"100% WHOLE WHEAT DINNER ROLLS, 100% WHOLE WHEAT",13.16,2.63,44.74,263,,5.3,118,2.37,,211,421,,,,,0,7.89
"100% WHOLE WHEAT DINNER ROLLS, WHOLE WHEAT",13.16,2.63,44.74,263,,5.3,118,2.37,,211,421,,,,,0,7.89
"100% WHOLE WHEAT DUTCH COUNTRY BREAD, 100% WHOLE WHEAT",10.53,2.63,47.37,237,,5.3,342,2.11,,211,447,,,,,0,5.26
100% WHOLE WHEAT ENGLISH MUFFINS,9.135,1.784615385,39.21307692,202.0384615,,5.207692308,107.7692308,2.125384615,,185.8823529,405.6538462,,,0.7,,0,2.827307692
"100% WHOLE WHEAT ENGLISH MUFFINS, 100% WHOLE WHEAT",10.06173913,2.314782609,41.05086957,214.5217391,,5.356521739,109.9565217,2.16,,198.5,373.6521739,0,0,0.9,,0,3.83
"100% WHOLE WHEAT ENGLISH MUFFINS, WHOLE WHEAT",9.832631579,1.92,40.31473684,207.4736842,,5.357894737,163.4210526,1.966315789,,240.1333333,396.6315789,,,0,,0,2.695789474
100% WHOLE WHEAT FAJITA FLOUR TORTILLAS,7.14,8.93,46.43,286,,10.7,139,3.57,,250,536,,0,,,0,0
100% WHOLE WHEAT FLATBREAD ROUNDS,11.63,3.49,46.51,233,,11.6,186,1.67,,,465,,,0,,0,6.98
"100% WHOLE WHEAT FLATBREAD ROUNDS, 100% WHOLE WHEAT",11.63,3.49,46.51,233,,11.6,186,1.67,,,465,,,0,,0,6.98
"100% WHOLE WHEAT FLATBREAD STUFFED WITH SPINACH, SPINACH",5.88,2.35,14.12,112,,2.4,24,2.12,,,224,,,2.8,,0,0
100% WHOLE WHEAT FLAX & FIBER ROLLS,10.53,4.39,47.37,263,,7,140,2.28,,246,526,,,,,0,5.26
"100% WHOLE WHEAT FLAX & FIBER ROLLS, WHOLE WHEAT",10.53,4.39,47.37,263,,7,140,2.28,,246,526,,,,,0,5.26
"100% WHOLE WHEAT FLAX & FIBER SANDWICH THINS ROLLS, 100% WHOLE WHEAT FLAX & FIBER",10.53,4.39,47.37,246,,7,281,2.28,,246,509,,,,,0,3.51
100% WHOLE WHEAT FLOUR,13.33,1.67,70,333,,10,40,3.33,,370,0,,0,,,0,0
"100% WHOLE WHEAT FLOUR FAJITA SIZE TORTILLAS, 100% WHOLE WHEAT FLOUR",8.33,7.015,43.86,254.5,,1.3,122.5,2.19,,258.5,543.5,,0,,,0,1.315
"100% WHOLE WHEAT FLOUR FAJITA TORTILLAS, 100% WHOLE WHEAT",10.71,7.14,50,286,,7.1,214,3.86,,,643,,,0,,0,3.57
100% WHOLE WHEAT FLOUR TORTILLAS,7.69,7.69,45.496,277.1,,7.68,110,0.945,,,586.4,,,0,,0,1.315
100% WHOLE WHEAT FLOUR TORTILLAS FAJITA,10.71,7.14,50,286,,7.1,214,3.86,,,643,,,0,,0,3.57
100% WHOLE WHEAT FLOUR TORTILLAS SOFT TACO,8.89,6.67,48.89,289,,6.7,178,2.4,,,622,,,0,,0,4.44
"100% WHOLE WHEAT FLOUR TORTILLAS SOFT TACO, WHOLE WHEAT",6.67,6.67,42.22,244,,6.7,87,2.22,,351,644,,,,,0,2.22
"100% WHOLE WHEAT FLOUR TORTILLAS, 100% WHOLE WHEAT FLOUR",7.735,7.0775,43.36,252.25,,4.2,132.75,1.095,,258.5,593.25,,0,0,,0,0.6575
"100% WHOLE WHEAT FORK SPLIT ENGLISH MUFFINS, 100% WHOLE WHEAT",10.53,2.63,43.86,211,,5.3,140,2.11,,298,298,,,,,0,1.75
100% WHOLE WHEAT FRESH TORTILLAS,8.89,7.78,48.89,267,,6.7,444,2.4,,,733,,,0,,0,2.22
"100% WHOLE WHEAT FRESH TORTILLAS, 100% WHOLE WHEAT",8.89,7.78,48.89,267,,6.7,444,2.4,,,733,,,0,,0,2.22
"100% WHOLE WHEAT GOURMET THIN ROLLS, WHOLE WHEAT",11.63,2.33,51.16,233,,11.6,93,2.56,,209,395,,,,,0,4.65
"100% WHOLE WHEAT GRAIN BREAD, 100% WHOLE WHEAT",12.28,3.51,45.61,246,,5.3,84,2.28,,214,474,,,,,0,7.02
"100% WHOLE WHEAT GRAIN MACARONI PRODUCT, PENNE RIGATE, PENNE RIGATE",12.5,2.68,71.43,321,,10.7,36,3.57,,429,0,,,,,0,3.57
"100% WHOLE WHEAT GRAIN MACARONI PRODUCT, ROTINI",12.5,2.68,71.43,321,,10.7,36,3.57,,429,0,,,,,0,3.57
100% WHOLE WHEAT GRAINS BREAD,11.11,2.22,44.44,,,6.7,327,2.22,,218,511,,,,,0,11.11
"100% WHOLE WHEAT GRAINS ENGLISH MUFFINS, WHOLE WHEAT",9.23,2.31,44.62,231,,4.6,108,1.85,,200,400,,,,,0,9.23
"100% WHOLE WHEAT HALF LOAF BREAD, 100% WHOLE WHEAT",10.71,3.57,46.43,250,,7.1,96,0,,300,500,,,,,0,7.14
"100% WHOLE WHEAT HAMBURG ROLLS, 100% WHOLE WHEAT",11.32,3.77,37.74,208,,5.7,57,2.08,,189,415,,,,,0,3.77
100% WHOLE WHEAT HAMBURGER,10.53,3.51,43.86,228,,8.8,263,2.53,,219,456,,,0,,0,5.26
100% WHOLE WHEAT HAMBURGER BUNS,11.31235294,3.439411765,43.23823529,236.4705882,,6.2,135,2.29,,200.5,432.1764706,,,0.246666667,,0,5.29
"100% WHOLE WHEAT HAMBURGER BUNS, 100% WHOLE WHEAT",12.322,3.2684,44.7944,246.08,,6.064,134.6666667,2.776666667,,222,417.88,0,0,0,,0,5.6516
"100% WHOLE WHEAT HAMBURGER BUNS, WHOLE WHEAT",12.28,4.39,47.37,263,,7,123,2.28,,211,544,,,,,0,5.26
100% WHOLE WHEAT HAMBURGER ROLLS,11.32,3.77,47.17,245,,5.7,151,2.64,,245,396,,,,,0,5.66
"100% WHOLE WHEAT HEARTY HOMESTYLE BREAD, 100% WHOLE WHEAT",10.9725,3.4125,46.5875,253.75,,7.525,82,3.4125,,296.25,567,,,,,0,7.56
"100% WHOLE WHEAT HIGH FIBER BREAD, WHOLE WHEAT",12.2,1.22,39.02,171,,12.2,195,4.39,,,390,,,0,,0,7.32
100% WHOLE WHEAT HOT DOG BUNS,11.25611111,3.166666667,44.15888889,239.2777778,,6.266666667,137.5,2.144444444,,220.3636364,450.5555556,,,0,,0,4.893333333
"100% WHOLE WHEAT HOT DOG BUNS, 100% WHOLE WHEAT",11.16521739,3.475217391,45.80608696,247.2608696,,6.60952381,89.30434783,2.357391304,,215.4545455,490.0434783,,0,0,,0,5.315652174
"100% WHOLE WHEAT HOT DOG BUNS, WHOLE WHEAT",11.045,3.279444444,45.29333333,247.7222222,,6.205555556,113.0555556,2.183333333,,211.4444444,497.3333333,,,,,0,5.323333333
100% WHOLE WHEAT HOT DOG ROLLS,11.32,3.77,47.17,245,,7.5,70,2.26,,243,396,,,,,0,3.77
"100% WHOLE WHEAT HOT DOG ROLLS, WHOLE WHEAT",10.87,4.35,45.65,239,,6.5,0,2.83,,239,370,,,,,0,4.35
100% WHOLE WHEAT ITALIAN BREAD,11.43,2.86,45.71,257,,5.7,114,2.86,,229,629,,,,,0,5.71
"100% WHOLE WHEAT ITALIAN BREAD, 100% WHOLE WHEAT ITALIAN",11.43,2.86,45.71,257,,5.7,114,2.86,,229,629,,,,,0,5.71
100% WHOLE WHEAT LIGHT STYLE BREAD,12.28,1.75,45.61,228,,8.8,140,3.16,,,368,,,0,,0,5.26
"100% WHOLE WHEAT LIGHT STYLE BREAD, 100% WHOLE WHEAT",12.28,1.75,45.61,228,,8.8,105,2.46,,228,351,,0,,,0,5.26
100% WHOLE WHEAT LONG STICKS WITH SEA SALT PRETZELS,14.29,5.36,71.43,382,,7.1,0,0,,,1696,0,,0,,0,3.57
"100% WHOLE WHEAT MACARONI PRODUCT, ANGEL HAIR",12.5,2.68,73.21,375,,10.7,0,3.21,,,0,,,0,,0,3.57
"100% WHOLE WHEAT MACARONI PRODUCT, PENNE RIGATE",11.68636364,2.518181818,73.7,357,,9.554545455,11.36842105,3.263333333,,433.8571429,0,0,,0,,0,3.57
"100% WHOLE WHEAT MACARONI PRODUCT, ROTINI",11.963,2.413,73.747,367.8,,10.52,0,3.133333333,,491,0,,,0,,0,3.57
"100% WHOLE WHEAT MACARONI PRODUCT, SPAGHETTI",12.5,2.284444444,72.81666667,355,,10.3,18,3.212352941,,464.5,0,,,0,,0,3.57
"100% WHOLE WHEAT MACARONI PRODUCT, SPAGHETTI NO. 8",12.5,2.68,71.43,321,,10.7,36,109.82,,429,0,,,,,0,3.57
"100% WHOLE WHEAT MACARONI PRODUCT, WHOLE WHEAT FARFALLE",10.71,2.68,75,357,,7.1,0,3.39,,393,0,,,,,0,3.57
"100% WHOLE WHEAT MACARONI PRODUCT, WHOLE WHEAT FUSILLI",10.71,2.68,75,357,,7.1,0,3.39,,393,0,,,,,0,3.57
100% WHOLE WHEAT MEDIUM FLOUR TORTILLAS,6.67,8.89,51.11,311,,6.7,133,3.2,,,556,,,0,,0,0
"100% WHOLE WHEAT MUFFINS, 100% WHOLE WHEAT",8.77,1.75,40.35,211,,5.3,158,2.63,,158,404,,,,,0,1.75
"100% WHOLE WHEAT MULTI-GRAIN, WHOLE WHEAT",13.51,4.05,44.59,257,,6.8,135,2.43,,,432,,,4.9,,0,5.41
"100% WHOLE WHEAT OLD FASHIONED BREAD, 100% WHOLE WHEAT",10.71,1.79,50,214,,7.1,143,2.57,,,536,,,0,,0,7.14
"100% WHOLE WHEAT OLD FASHIONED HAMBURGER BUNS, 100% WHOLE WHEAT",12.164,3.38,49.456,259.2,,6.24,118.8,2.7,,229.8,437.4,,,,,0,6.76
"100% WHOLE WHEAT OLD FASHIONED SELECT BREADS, WHOLE WHEAT",9.3,3.49,41.86,233,,7,93,2.51,,,488,,,0,,0,2.33
"100% WHOLE WHEAT ORGANIC BREAD, 100% WHOLE WHEAT",11.42285714,3.295714286,47.58714286,252.4285714,,7.728571429,30.14285714,2.232857143,,186,400,,0,0,,0,7.715714286
"100% WHOLE WHEAT ORGANIC BREAD, WHOLE WHEAT",10.71,3.57,46.43,286,,7.1,107,2.14,,214,536,,,,,0,10.71
"100% WHOLE WHEAT ORGANIC SOFT BREAD, WHOLE WHEAT",10.53,4.39,45.61,246,,5.3,267,2.46,19,184,351,,,,1.75,0,7.02
"100% WHOLE WHEAT ORIGINAL BAGELS, 100% WHOLE WHEAT",12.28,1.75,47.37,246,,5.3,18,2.28,,228,474,,,,,0,7.02
"100% WHOLE WHEAT ORIGINAL PRE-SLICED BAGELS, 100% WHOLE WHEAT",12.28,1.75,47.37,246,,5.3,18,2.28,,228,474,,,,,0,7.02
"100% WHOLE WHEAT ORZO PASTA, WHOLE WHEAT",12.5,1.79,69.64,357,,16.1,71,,,,0,,,,,,
100% WHOLE WHEAT PENNE RIGATE,12.5,2.68,73.21,375,,10.7,0,3.21,,,0,,,0,,0,3.57
100% WHOLE WHEAT PITA BREAD,10.53,1.75,49.12,263,,7,105,0.63,,,386,,,0,,0,3.51
"100% WHOLE WHEAT PITA BREAD, 100% WHOLE WHEAT",10.53,3.51,47.37,246,,7,123,2.28,,246,404,,,,,0,1.75
100% WHOLE WHEAT PITA POCKETS,12.28,2.63,47.37,263,,7,105,2.11,,281,404,,,,,0,3.51
"100% WHOLE WHEAT PITA POCKETS, 100% WHOLE WHEAT",9.52,3.57,50,238,,11.9,95,2.14,,238,476,,,,,0,4.76
"100% WHOLE WHEAT PITA POCKETS, WHOLE WHEAT",10.53,3.51,47.37,246,,7,123,2.28,,246,404,,,,,0,1.75
"100% WHOLE WHEAT POCKET THINS FLATBREAD, 100% WHOLE WHEAT",9.52,3.57,47.62,238,,11.9,143,2.57,,,452,,,0,,0,4.76
100% WHOLE WHEAT POTATO BREAD,14.29,4.29,40,229,,5.7,286,4.11,,,314,0,,0,,0,8.57
100% WHOLE WHEAT POTATO ROLLS,16.47,4.71,40,235,,7.1,235,4.24,,,318,,,0,,0,9.41
"100% WHOLE WHEAT POTATO ROLLS, POTATO",16.47,4.71,40,235,,7.1,235,4.24,,,318,,,0,,0,9.41
100% WHOLE WHEAT PRE-SLICED BAGELS,10.87,2.17,54.35,239,,10.9,174,2.17,,217,435,,,,,0,6.52
"100% WHOLE WHEAT PRE-SLICED BAGELS, 100% WHOLE WHEAT",11.32714286,2.204285714,53.41857143,255,,9.128571429,117.4285714,2.567142857,,253.2857143,432.7142857,,0,,,0,6.917142857
"100% WHOLE WHEAT PRE-SLICED BREAD, WHOLE WHEAT",9.3,3.49,39.53,209,,4.7,116,2.33,,233,395,,,,,0,2.33
100% WHOLE WHEAT PRE-SLICED ROLLS,11.63,2.33,51.16,233,,11.6,93,2.56,,209,395,,,,,0,4.65
"100% WHOLE WHEAT PRE-SLICED ROLLS, 100% WHOLE WHEAT",11.63,2.33,50,233,,11.6,104.5,2.56,,209,430,,,,,0,4.65
100% WHOLE WHEAT PRE-SLICED SLIM BUNS,9.3,2.33,44.19,209,,11.6,177,2.33,,249,326,,,,,0,4.65
"100% WHOLE WHEAT PRE-SLICED SLIM BUNS, WHOLE WHEAT",9.3,2.33,44.19,209,,11.6,177,2.33,,249,326,,,,,0,4.65
100% WHOLE WHEAT PREMIUM BREAD,9.3,3.49,46.51,233,,7,44,2.33,,263,442,,,,,0,4.65
"100% WHOLE WHEAT PREMIUM BREAD, 100% WHOLE WHEAT",11.11,2.78,47.22,250,,5.6,125,2.22,,222,472,,,,,0,5.56
"100% WHOLE WHEAT PREMIUM BREAD, WHOLE WHEAT",9.3,3.49,46.51,233,,7,44,2.33,,263,442,,,,,0,4.65
"100% WHOLE WHEAT PREMIUM SANDWICH BREAD, 100% WHOLE WHEAT",10.71,3.57,46.43,250,,7.1,143,2.14,,214,500,,,,,0,3.57
100% WHOLE WHEAT PRETZELS,14.9575,7.59,73.215,406.5,,8.225,44.375,1.60625,,,995.875,0,,0,,0,3.57
"100% WHOLE WHEAT PRODUCT, THIN SPAGHETTI",12.5,2.68,73.21,357,,8.9,36,3.57,,464,0,,0,,,0,3.57
"100% WHOLE WHEAT RAISIN WALNUT BREAD, 100% WHOLE WHEAT RAISIN WALNUT",10.53,10.53,43.86,298,,5.3,35,2.53,,,263,,,0,,0,19.3
100% WHOLE WHEAT ROCKY MOUNTAIN SOURDOUGH BREAD,7.14,0.89,37.5,179,,7.1,20,1.79,,195,411,,,,,0,0
"100% WHOLE WHEAT ROCKY MOUNTAIN SOURDOUGH BREAD, WHOLE WHEAT",7.14,0.89,37.5,179,,7.1,20,1.79,,195,411,,,,,0,0
100% WHOLE WHEAT ROLLS,11.355,2.625,50.65,236.25,,10.45,104.75,2.49,,222.5,427.75,,,,,0,4.8025
"100% WHOLE WHEAT ROLLS, 100% WHOLE WHEAT",10.53,4.096666667,47.95333333,246,,7,234,2.28,,251.6666667,514.6666667,,,,,0,4.093333333
"100% WHOLE WHEAT ROLLS, WHOLE WHEAT",10.53,3.59,48.96090909,246,,7,152.8181818,2.28,,261.4545455,524.4545455,,,,,0,5.100909091
100% WHOLE WHEAT ROUND TOP BREAD,12,3,42,240,,6,40,2.16,,200,420,,,0,,0,6
"100% WHOLE WHEAT ROUND TOP BREAD, 100% WHOLE WHEAT",11.14,3.38,42.57333333,222.6666667,,6.733333333,60.66666667,2.433333333,,209.3333333,426,0,,0,,0,6.76
100% WHOLE WHEAT SANDWICH BREAD,13.18785714,3.37,47.33142857,245.5,,6.014285714,134.1428571,2.546428571,,249.5,447.9285714,,,0,,0,5.614285714
"100% WHOLE WHEAT SANDWICH BREAD WIDE PAN, WHOLE WHEAT",13.95,2.33,48.84,256,,7,105,2.33,,240,442,,,,,0,2.33
"100% WHOLE WHEAT SANDWICH BREAD, 100% WHOLE WHEAT",12.32241379,3.297931034,47.52206897,252.4137931,,7.227586207,130.4827586,2.531034483,,198.6551724,425,,0,,,0,7.986551724
"100% WHOLE WHEAT SANDWICH BREAD, WHEAT",11.54,3.85,46.15,269,,7.7,192,3.85,,231,404,,,,,0,7.69
"100% WHOLE WHEAT SANDWICH BREAD, WHOLE WHEAT",13.04777778,2.452222222,46.17777778,242.8888889,,6.211111111,141.2777778,2.435555556,,156.2352941,439.2777778,,,,,0,5.577222222
100% WHOLE WHEAT SANDWICH BUNS,10.67,3.78,47.335,260,,6.9,124,2.29,,213.5,557.5,,,,,0,5.335
"100% WHOLE WHEAT SANDWICH BUNS, 100% WHOLE WHEAT",10.53,3.51,49.12,263,,7,26,2.28,,228,579,,,,,0,5.26
"100% WHOLE WHEAT SANDWICH BUNS, WHOLE WHEAT",10.82166667,3.51,47.95166667,260.1666667,,7,80.16666667,2.28,,219.5,564.1666667,,,,,0,5.26
"100% WHOLE WHEAT SANDWICH SLENDERS, 100% WHOLE WHEAT",11.63,3.49,48.84,233,,11.6,28,2.33,,47,395,,,,,0,6.98
"100% WHOLE WHEAT SANDWICH SLENDERS, WHOLE WHEAT",11.63,3.49,48.84,233,,11.6,28,2.33,,47,395,,,,,0,6.98
100% WHOLE WHEAT SANDWICH THINS ROLLS,10.53,3.51,49.12,246,,7,140,2.28,,263,526,,,,,0,5.26
"100% WHOLE WHEAT SANDWICH THINS ROLLS, 100% WHOLE WHEAT",27.273,2.981,49.31,244.05,,7.69,125.05,2.322,,254.9,498.5,,,,,0,5.1685
"100% WHOLE WHEAT SANDWICH THINS, 100% WHOLE WHEAT",11.63,2.33,48.84,233,,11.6,105,2.56,,209,465,,,,,0,4.65
"100% WHOLE WHEAT SANDWICH THINS, WHOLE WHEAT",11.63,2.33,51.16,233,,11.6,35,2.33,,209,395,,,,,0,4.65
100% WHOLE WHEAT SEASONED BREAD CRUMBS,13.81,6.015,65.48,362,,6.8,207,4.545,,321,2052,,0,0,,0,6.905
"100% WHOLE WHEAT SELECT BREADS, 100% WHOLE WHEAT",11.63,3.49,44.19,233,,7,93,2.33,,256,395,,,,,0,4.65
"100% WHOLE WHEAT SIMPLY SMALL BREAD, 100% WHOLE WHEAT",10,3.75,50,275,,7.5,125,2.25,,225,450,,,,,0,5
100% WHOLE WHEAT SLICED BAGELS,11.76,2.35,49.41,247,,5.9,71,0.18,,12,447,,,,,0,5.88
"100% WHOLE WHEAT SLICED BAGELS, 100% WHOLE WHEAT",11.29,2.232,47.764,237.6,,5.9,73.2,0.378,,49.6,430.6,,0,,,0,5.646
100% WHOLE WHEAT SLICED BREAD,11.16923077,3.584615385,42.52,244.9230769,,6.461538462,106.7692308,2.323076923,,,493.8461538,,,0,,0,5.430769231
100% WHOLE WHEAT SLICED BREAD ,12,4,48,240,,8,80,2.88,,,520,,,0,,0,4
"100% WHOLE WHEAT SLICED BREAD, 100% WHOLE WHEAT",11.933125,3.145625,46.563125,251.375,,7.01875,109.3125,1.6825,,184.5625,455.75,,0.333333333,,,0,6.044375
"100% WHOLE WHEAT SLICED BREAD, WHOLE WHEAT",12,4,48,280,,8,48,2.4,,244,440,,,,,0,8
100% REAL POTATO FRENCH FRIES,3.33,30,56.67,500,,6.7,42,1,,733,283,,,,,10,0
100% REAL POTATOES,10.53,0,78.95,368,,5.3,0,0,,,79,,,12.6,,0,0
100% REAL PREMIUM ICE CREAM,4.41,10.29,25,191,,1.5,118,1.06,,,66,,,0,,37,17.65
"100% REAL PREMIUM ICE CREAM, CHOCOLATE",4.41,10.29,25,191,,1.5,118,1.06,,,66,,,0,,37,17.65
100% REAL STRAWBERRIES CHEWY GRANOLA BARS,6.45,12.9,67.74,419,,3.2,32,2.26,,194,48,,,,,0,19.35
"100% REAL STRAWBERRIES CHEWY GRANOLA BARS, 100% REAL STRAWBERRIES",6.45,12.9,67.74,419,,3.2,32,2.26,,194,48,,,,,0,19.35
"100% REAL STRAWBERRIES CHEWY GRANOLA BARS, STRAWBERRIES",6.45,12.9,67.74,419,,3.2,32,2.26,,194,48,,0,,,0,19.35
100% REAL SUGAR GOURMET SODA CRAFTED IN WISCONSIN,0,0,13.52,54,,,,,,,8,,,,,,13.52
100% REAL THICK CUT BACON,37.53333333,33.61,0,470.6666667,,0,0,0.706666667,,,2047.333333,,,17.63333333,,134.6666667,0
100% REAL UNREAL,7.14,35.71,57.14,571,,7.1,0,5.14,,,321,,,0,,14,35.71
100% RECONSTITUTED LEMON JUICE,0,0,0,0,,,,,,,0,,,24,,,0
"100% RECONSTITUTED LEMON JUICE WITH ADDED INGREDIENTS, LEMON",0,0,0,0,,,,,,,0,,,24,,,
"100% RECONSTITUTED LEMON JUICE, LEMON",0,0,0,0,,,0,0,,,0,,,24,,,0
"100% RECONSTITUTED LIME JUICE WITH ADDED INGREDIENTS, LIME",0,0,0,0,,,,,,,0,,,,,,
"100% RECONSTITUTED LIME JUICE, LIME",0,0,0,0,,,,,,,0,,,,,,
"100% RED BEET ORGANIC JUICE FROM CONCENTRATE, RED BEET",0,0,7.5,29,,0.4,17,0.6,,219,58,,,3.8,,0,6.67
"100% RED GRAPE JUICE A BLEND OF WHITE, CONCORD AND RED GRAPE JUICES FROM CONCENTRATE",0.42,0,16.25,58,,,12,0.17,,58,8,,,37.5,,,15
"100% RED GRAPE JUICE, RED GRAPE",0.42,0,16.25,58,,,12,0.17,,58,8,,,37.5,,,15
"100% RED GRAPEFRUIT JUICE, RED GRAPEFRUIT",0.447272727,0,9.283636364,39.36363636,,,8.909090909,,,126.3333333,0,,,18.90909091,,,7.157272727
100% RED LENTIL FUSILLI PASTA,26.79,1.79,60.71,357,,17.9,0,5.36,,875,0,,0,,,0,1.79
100% RED LENTIL ORGANIC STROZZAPRETI,26.5,1.4,52.3,343,,6.4,,,,,,,,,,,
"100% RED RASPBERRY FLAVORED APPLE JUICE BLEND FROM CONCENTRATE, RED RASPBERRY",0,0,12.08,50,,,0,0.15,,117,10,,,30,,,11.25
"100% RED SANGRIA JUICE, RED SANGRIA",0.42,0,15,62,,,12,,,67,6,,,3.8,,,14.17
"100% RED TART CHERRY AN APPLE AND CHERRY JUICE BLEND FROM CONCENTRATE, RED TART CHERRY",0,0,12.08,50,,0.4,,0.42,,113,6,,,,,,10
100% RED TART CHERRY JUICE,0.83,0,12.92,54,,0,17,0.45,,167,27,,,0,,0,12.08
"100% REDUCED ACID ORANGE NO PULP JUICE WITH CALCIUM & VITAMIN A & C, ORANGE",0.83,0,10.83,46,,,42,,,188,0,,,37.5,,,9.17
"100% REDUCED ACID ORANGE NO PULP JUICE WITH CALCIUM & VITAMIN A & C, REDUCED ACID ORANGE",0.83,0,10.83,46,,,42,,,188,0,,,37.5,,,9.17
100% ROASTED COCOA BEANS POWDER FOR BAKING & DRINKING,20,0,60,400,,40,0,36,,,0,,,0,,0,0
100% ROLLED QUICK OATS,12.5,6.25,67.5,375,,10,0,4.363636364,,375,0,,,0,,0,1.818181818
"100% RUBY RED BLEND OF 3 JUICES FROM CONCENTRATE WITH ADDED INGREDIENTS, RUBY RED",0.42,0,10.83,46,,,8,0.15,,96,8,,,25,,,10.83
"100% RUBY RED GRAPEFRUIT FLAVORED BLEND OF 2 JUICES FROM CONCENTRATE, RUBY RED GRAPEFRUIT",0.42,0,12.5,50,,0,0,0,,79,12,,,30,,0,12.08
"100% RUBY RED GRAPEFRUIT FLAVORED BLEND OF APPLE, GRAPE AND GRAPEFRUIT JUICES FROM CONCENTRATE, RUBY RED GRAPEFRUIT",0.42,0,13.33,54,,,8,,,79,6,,,25,,,11.25
100% RUBY RED GRAPEFRUIT JUICE,0.42,0,10,42,,,9,,12,154,0,,,29.2,,,9.58
"100% RUBY RED GRAPEFRUIT JUICE, RUBY RED",0.42,0,10,42,,0,9,0,,154,0,,,29.2,,0,9.58
"100% RUBY RED GRAPEFRUIT JUICE, RUBY RED GRAPEFRUIT",0.42,0,9.881428571,41.42857143,,0,7.714285714,0,12,145.7142857,0,,,28.77142857,,0,9.222857143
100% RUSSET INSTANT MASHED POTATOES,5.26,0,78.95,368,,5.3,53,1.05,,684,79,,,,,0,5.26
100% RUSSET JULIENNE POTATOES IN A CREAMY CHEESE SAUCE,7.14,1.79,78.57,357,,3.6,71,1.07,,679,1643,,,,,0,3.57
100% SAFFLOWER OIL,0,100,0,857,,,,,,,0,,,,,0,
100% SAFFLOWER OLI,0,93.33,0,800,,,,,,,0,,,,,0,
"100% SALSAS, VEGGIE REFRIED BEANS",6.09,1.74,18.26,113,,4.3,35,1.57,,,348,,,2.1,,0,0.87
100% SANFFLOWER OIL,,100,0,857,,,,,,,0,,,,,0,0
100% SANGRIA JUICE,0.42,0,14.17,58,,,8,,,71,6,,,2.5,,,13.75
"100% SANGRIA RED FLAVORED BLEND OF GRAPE, PEAR AND ORANGE JUICES FROM CONCENTRATE, SANGRIA",0.42,0,15,62,,,12,,,67,6,,,3.8,,,14.17
"100% SECRETS OF THE VALLEY APPLE, CHERRY, BLACKCURRANT & OTHER FRUIT JUICE BLEND, SECRETS OF THE VALLEY",0,0,13.33,54,,0,0,0.3,,88,4,,,15,,0,12.08
100% SEMOLINA SHELLS,12.5,0.89,73.21,357,,3.6,,,,,0,,,,,0,0
"100% SEMOLINA, MACARONI PRODUCT ALPHABETS",12.5,0.89,73.21,357,,1.8,,,,,45,,,,,0,3.57
100% SESAME SEEDS TAHINI,26.67,53.33,13.33,667,,3.3,100,46.67,,90,17,,,,,0,0
100% SHEEP MILK QUESO MANCHEGO,21.43,35.71,1.43,429,,0,893,0,,,714,,,0,,107,0
"100% SICILIAN LEMON JUICE, LEMON",0,0,0,100,,,,,,,0,,,96,,,0
100% SILICAN LEMON JUICE,0,0,0,0,,0,0,0,,200,0,,0,,,0,0
100% SIRLOIN BEEF STEAK,20.59,7.84,0.98,147,,0,0,1.41,,,49,0,,0,,44,0
"100% SOCKEYE SALMON BURGERS, 100% SOCKEYE SALMON",15.93,16.81,10.62,248,,0.9,18,0,,291,558,,,,,40,1.77
"100% SOLID MILK CHOCOLATE RABBIT CANDY, MILK CHOCOLATE",5.71,28.57,65.71,543,,2.9,114,4.11,,,43,,,0,,0,57.14
"100% SOME PULP RED GRAPEFRUIT JUICE, RED GRAPEFRUIT",0.48,0,9.42,41,,,10,,,,0,,,11.6,,,7.25
"100% SOURSOP JUICE WITH PULP, SOURSOP",0,0,11.25,46,,0,14,583.33,,278,20,,,10,,0,10.83
100% SOYBEAN IDEAL ALL-PURPOSE VEGETABLE OIL,0,100,0,857,,,,,,,0,,,,,,
100% SOYBEAN OIL VEGETABLE OIL,0,100,0,857,,0,0,0,,,0,,,,,0,0
"100% SOYBEAN OIL, VEGETABLE OIL",0,100,0,857,,0,0,0,,,0,,,,,0,0
